t,absZ,spacing
11223344.11247382346586762384490000000000000000000000000000000000000000000000006590988053889464137971,3.391205655931664468499191506336104132420317517680389920288314771032962535295517962663186610471733866e-21,0
11223344.67438641816979227581244341532445339982714720880533953261012698446393327405488422321783016012,1.508802739441890363044270612474549216410812342130145543931043383210548802779429513512082480607921191e-17,0.5619125947039246519675434153244533998271472088053395326101269844639332081450036843231887804112832728
11223345.00653566052763902969322666544775515685332005908695322102023219980243902799600798296648300879,1.518426805094710387816868347554011287791275886404069666870636729808492352596389606412203004738691519e-17,0.3321492423578467538807832501233017570261728502816136884101052153385057539411237597486528486720037509
11223345.42462155955133839690471376927446081631451929464845792553353363298251700175260036288313202869,2.934629796390329434166989136522279570637617887052976824121041454218960302285359277153084535069627451e-17,0.4180858990236993672114871038267056594611992355615047045133014331800779737565923799166490198964796368
11223345.96808303398076515717289579134948608843325789340235886706332428018971564508163407594875070441,1.269083743109819903019931923027316809166576547137110317905258219143881573327073721302192966218057219e-18,0.54346147442942676026818202207502527211873859875390094152979064720719864332903371306561867571871503
11223346.5115855508610278617615082134630692069661554111667536181280286252832725516089801507674313382,3.340736174263619398988400351658081868514604656665594431907072844367686539289783656652738160124051921e-17,0.5435025168802627045886124221135831185328975177643947510647043450935569065273460748186806337951160541
11223346.86129513897724309197139999999999999999999999999999999999999999999999996926347142324210451501,1.049482204502392286491221674588346019614844397711867943818174203253513539145954432531444955967646179e-17,0.3497095881162152302098917865369307930338445888332463818719713747167274176544912724746731768082430703
11223347.36319223271489835565157950239313240455768306385057791454073807943442110986837511385660577597,1.278137290459150603704239251381404215862516647530636455769284500535482839033094052376060484837774475e-17,0.5018970937376552636801795023931324045576830638505779145407380794344211406049036906145012609619428529
11223347.86169477361993589624940000000000000000000000000000000000000000000000002152497786849820741723,5.542525000876859955009870717213392667106548039283195358605246209007029077572027097523993034698848081e-21,0.4985025409050375405978204976068675954423169361494220854592619205655789116566027546416016412574124578
11223347.96153192495368370578380000000000000000000000000000000000000000000000005309278685649065392825,1.091805907671883887903001304540639700750866617025202339100859942391518458722098162681359715151682488e-18,0.09983715133374780953440000000000000000000000000000000000000000000000003156780898799244651102043904963
11223348.74973056320571836411349283350364869686735411947389889085038713491610525164286002867937521528,5.047653051552581120345667168826050178972372817164180452432358334916698293316455335457106118376854157e-17,0.7881986382520346583296928335036486968673541194738988908503871349161051985500731721887212870234927266
11223348.99046213236079041028701047812397750363790153645458692301755835186172555237248033396796143261,1.54364730090535543692037919203191688612714565551425078335264408355411351654464066645985294802790792e-17,0.2407315691550720461735176446203288067705474169806880321671712169456203007296203052885862173336280355
11223349.29294422875414837636000161551845995150938314229416905001036777059223236656161621289945477894,8.962318892052961910393440175802838455329350766421136349860033283898683366725619253166899956523496446e-17,0.302482096393357966072991137394482447871481605839582126992809418730506814189135878931493346330017792
11223350.23325879655798194215580000000000000000000000000000000000000000000000000754598710366074261092,2.083431463380081016031557272578044193386464817086894970952028953877127478604327451857017831759044526e-20,0.9403145678038335657957983844815400484906168577058309499896322294077676409843708907612878319851783718
11223350.68094479984889108345440000000000000000000000000000000000000000000000004186156832190450829661,3.844357163557491843123485201931811497568213569047711747915612752848403233906867339632871074946457091e-20,0.4476860032909091412986000000000000000000000000000000000000000000000000343155812182437656856884196782
11223350.8670123388191979640641565930755936466256231592482723938065902444155636046189933644523273105,1.357396759654912143453447456694320225061299404045446565382663752285489441040000480843863918829585095e-17,0.1860675389703068806097565930755936466256231592482723938065902444155635627574250425478190138828433537
11223351.34494625668040608086663925169908854343086322139620730213987727830397348361677581880407751274,5.315475289455554275238374921729312984735079486991137298353828479256074284672337151633731972374811617e-18,0.4779339178612081168024826586234948968052400621479349083332870338884098789977824543517502022393906421
11223351.77759485477440389828398541297983496218242823496704636741375826433125932990254363220569040046,1.4393122332661323644607677186979489036803117928689711016206529638024400331378850741157490235996916e-17,0.4326485980939978174173461612807464187515650135708390652738809860272858462857678134016128877210170139
11223351.87727773762241421163440000000000000000000000000000000000000000000000004937986695913677033464,3.863850001168923908130855017516366215809582387804992731186256098473164485591999437134252195080644994e-21,0.09968288284801031335041458702016503781757176503295363258624173566874071947732332693107993418617432106
